id,nombre,categoria,ciudad,edad,cantidad,precio,fecha
1,Ana,Electrónica,Lima,25,2,1500,2024-01-05
2,Luis,Ropa,Arequipa,32,1,80,2024-01-06
3,Carlos,Electrónica,Lima,28,1,1500,2024-01-06
4,María,Hogar,Trujillo,41,3,250,2024-01-07
5,Sofía,Ropa,Lima,,2,120,2024-01-08
6,Pedro,Electrónica,Cusco,36,,2000,2024-01-08
7,Lucía,Hogar,Lima,29,1,,2024-01-09
8,Ana,Electrónica,Lima,25,2,1500,2024-01-05
9,Diego,Ropa,Piura,22,4,90,2024-01-10
10,Elena,Hogar,Arequipa,38,1,300,2024-01-11
11,Jorge,Ropa,Lima,30,2,110,2024-01-12
12,Camila,Electrónica,Lima,27,1,1800,2024-01-13
